site_id,parcel_status,parcel_count
S02,Pending,13
S10,Pending,17
S11,Rejected,9
S06,Pending,16
S08,Pending,16
S04,Rejected,7
S05,Pending,20
S09,Validated,26
S03,Pending,13
S01,Rejected,9
S07,Rejected,6
S11,Pending,11
S06,Rejected,11
S02,Rejected,4
S10,Rejected,3
S04,Pending,12
S08,Rejected,6
S07,Validated,31
S01,Validated,38
S03,Unknown,3
S09,Rejected,4
S05,Unknown,1
S03,Validated,33
S05,Validated,34
S09,Pending,12
S01,Unknown,1
S01,Pending,18
S03,Rejected,11
S05,Rejected,5
S07,Pending,13
S09,Unknown,1
S04,Validated,28
S11,Validated,30
S06,Unknown,3
S10,Unknown,1
S08,Unknown,1
S06,Validated,30
S02,Validated,36
S08,Validated,37
S10,Validated,29
S04,Unknown,1
