mission_id,agent_id,site_id,mission_date,parcel_status,validation_delay_days
M0001,AG008,S05,2024-07-27,Pending,
M0002,AG015,S04,2025-06-09,Validated,8.6
M0003,AG003,S03,2025-06-04,Validated,2.4
M0004,AG014,S06,2024-08-24,Validated,7.5
M0005,AG017,S02,2024-10-07,Validated,16.7
M0006,AG004,S03,2024-12-24,Validated,1.1
M0007,AG018,S05,2024-07-19,Validated,3.7
M0008,AG008,S09,2024-10-04,Pending,1.7
M0009,AG004,S02,2024-08-22,Pending,7.9
M0010,AG002,S10,2025-05-08,Pending,4.3
M0011,AG006,S08,2024-01-04,Validated,5.0
M0012,AG022,S02,2025-03-17,Validated,8.0
M0013,AG010,S11,2024-01-29,Rejected,2.5
M0014,AG004,S05,2024-04-18,Validated,12.3
M0015,AG022,S07,2024-03-15,Validated,3.8
M0016,AG018,S08,2024-05-25,Validated,0.9
M0017,AG012,S01,2024-05-07,Validated,6.0
M0018,AG002,S06,2024-02-11,Validated,7.9
M0019,AG010,S01,2024-12-21,Validated,1.9
M0020,AG004,S02,2024-02-10,Validated,9.7
M0021,AG014,S01,2024-02-03,Validated,11.8
M0022,AG016,S11,2024-01-17,Pending,1.6
M0023,AG015,S05,2024-06-01,Pending,20.5
M0024,AG008,S10,2025-01-12,Pending,
M0025,AG014,S09,2024-12-07,Pending,1.1
M0026,AG008,S06,2024-01-27,Rejected,1.0
M0027,AG021,S11,2024-10-13,Validated,11.2
M0028,AG016,S11,2024-06-16,Validated,5.3
M0029,AG013,S01,2024-09-24,Validated,0.8
M0030,AG018,S01,2025-03-30,Pending,2.9
M0031,AG015,S02,2025-02-04,Rejected,4.8
M0032,AG021,S09,2025-04-20,Validated,0.4
M0033,AG013,S03,2024-05-09,Rejected,10.7
M0034,AG009,S01,2024-12-28,Validated,8.1
M0035,AG015,S05,2024-10-18,Rejected,3.5
M0036,AG013,S07,2025-01-05,Validated,17.1
M0037,AG001,S06,2024-01-29,Validated,2.7
M0038,AG007,S01,2024-05-28,Validated,20.7
M0039,AG009,S05,2024-10-22,Validated,5.5
M0040,AG001,S05,2024-01-11,Validated,5.0
M0041,AG012,S06,2025-05-26,Validated,0.9
M0042,AG008,S03,2024-04-22,Pending,10.7
M0043,AG011,S05,2024-07-05,Validated,2.8
M0044,AG019,S07,2024-08-14,Validated,0.9
M0045,AG017,S05,2024-11-05,Pending,0.1
M0046,AG008,S05,2024-04-07,Pending,4.1
M0047,AG003,S05,2024-02-24,Validated,3.7
M0048,AG003,S10,2025-02-09,Validated,6.4
M0049,AG001,S10,2024-03-09,Validated,11.0
M0050,AG005,S03,2024-11-07,Validated,0.4
M0051,AG010,S01,2024-10-15,Pending,6.6
M0052,AG007,S05,2024-05-27,Validated,1.0
M0053,AG009,S09,2025-04-11,Validated,9.8
M0054,AG007,S01,2024-08-31,Pending,8.5
M0055,AG009,S03,2025-05-05,Validated,3.9
M0056,AG008,S04,2025-05-21,Validated,6.2
M0057,AG012,S01,2024-12-30,Validated,1.9
M0058,AG002,S01,2025-04-26,Rejected,3.2
M0059,AG001,S08,2024-07-19,Validated,8.6
M0060,AG016,S02,2024-06-02,Pending,3.1
M0061,AG005,S08,2025-03-25,Validated,2.2
M0062,AG003,S07,2025-05-15,Validated,3.4
M0063,AG012,S10,2024-03-13,Pending,8.8
M0064,AG008,S10,2024-10-22,Rejected,2.0
M0065,AG022,S02,2024-01-17,Pending,1.0
M0066,AG003,S06,2024-08-04,Pending,6.2
M0067,AG001,S06,2024-03-01,Rejected,
M0068,AG003,S03,2024-02-11,,0.5
M0069,AG005,S11,2024-01-25,Validated,1.4
M0070,AG015,S02,2024-02-08,Pending,0.8
M0071,AG014,S01,2024-05-10,Validated,2.1
M0072,AG003,S06,2025-05-12,Pending,3.0
M0073,AG001,S05,2024-08-16,Rejected,6.9
M0074,AG005,S11,2024-04-17,Validated,5.3
M0075,AG014,S09,2024-06-20,Validated,4.9
M0076,AG007,S01,2025-03-10,Pending,2.2
M0077,AG009,S07,2025-04-22,Validated,9.2
M0078,AG015,S05,2024-04-11,Pending,3.2
M0079,AG015,S05,2025-06-07,Validated,19.3
M0080,AG010,S02,2024-10-01,Pending,5.0
M0081,AG013,S11,2024-02-13,Validated,0.7
M0082,AG019,S03,2024-01-17,Pending,5.6
M0083,AG007,S07,2024-11-25,Validated,2.0
M0084,AG017,S06,2025-05-11,Validated,5.8
M0085,AG020,S02,2024-01-12,Validated,0.4
M0086,AG004,S06,2024-11-13,Pending,1.0
M0087,AG005,S02,2024-08-03,Rejected,9.7
M0088,AG007,S02,2024-12-04,Validated,1.3
M0089,AG013,S02,2024-03-21,Validated,9.1
M0090,AG015,S11,2025-04-29,Validated,1.6
M0091,AG011,S03,2025-01-08,Pending,5.1
M0092,AG004,S02,2024-07-18,Pending,5.9
M0093,AG013,S04,2025-06-20,Validated,3.6
M0094,AG007,S09,2025-04-10,Validated,1.8
M0095,AG019,S06,2024-03-29,Validated,1.2
M0096,AG022,S01,2024-09-24,Validated,0.2
M0097,AG002,S08,2025-05-03,Validated,1.8
M0098,AG010,S07,2025-06-21,Rejected,5.3
M0099,AG013,S10,2024-02-16,Validated,13.9
M0100,AG021,S03,2024-10-14,Pending,10.2
M0101,AG006,S01,2024-01-16,Validated,7.3
M0102,AG012,S05,2025-02-04,Validated,7.8
M0103,AG012,S04,2024-03-26,Pending,5.5
M0104,AG020,S10,2024-09-06,Pending,1.5
M0105,AG011,S08,2025-01-25,Rejected,11.9
M0106,AG007,S01,2024-11-30,Validated,5.6
M0107,AG001,S10,2025-06-02,Validated,4.1
M0108,AG001,S01,2024-05-16,Pending,0.6
M0109,AG020,S04,2025-05-12,Validated,3.0
M0110,AG013,S08,2025-04-21,Validated,3.1
M0111,AG009,S05,2024-08-10,Validated,10.0
M0112,AG003,S02,2025-01-06,Validated,4.0
M0113,AG007,S06,2025-02-05,Rejected,2.4
M0114,AG006,S05,2025-03-18,Validated,18.8
M0115,AG008,S02,2025-05-04,Validated,0.6
M0116,AG009,S11,2024-09-29,Validated,2.7
M0117,AG005,S11,2025-06-09,Validated,0.2
M0118,AG001,S11,2024-06-07,Validated,6.7
M0119,AG019,S03,2024-05-31,Validated,12.5
M0120,AG010,S09,2024-07-06,Validated,1.6
M0121,AG012,S07,2024-04-07,Pending,9.8
M0122,AG015,S07,2024-05-10,Validated,1.7
M0123,AG022,S11,2024-06-19,Validated,12.1
M0124,AG009,S06,2024-07-01,,7.0
M0125,AG020,S08,2024-12-29,Pending,8.2
M0126,AG017,S04,2024-02-08,Validated,0.1
M0127,AG017,S08,2025-06-10,Validated,16.5
M0128,AG020,S04,2025-05-11,Validated,6.5
M0129,AG012,S08,2025-05-30,Pending,1.8
M0130,AG007,S09,2024-12-14,Rejected,8.8
M0131,AG002,S03,2025-01-31,Pending,1.7
M0132,AG003,S03,2024-06-09,,10.3
M0133,AG017,S11,2024-01-16,Pending,0.6
M0134,AG005,S02,2025-05-07,Validated,6.1
M0135,AG017,S10,2025-03-01,,3.9
M0136,AG017,S03,2024-04-17,Validated,0.5
M0137,AG017,S03,2025-03-25,Rejected,1.4
M0138,AG002,S05,2024-11-06,Validated,0.1
M0139,AG002,S05,2024-06-18,Pending,3.2
M0140,AG022,S02,2025-06-29,Validated,1.8
M0141,AG005,S10,2025-02-17,Validated,4.6
M0142,AG001,S06,2024-09-07,,1.8
M0143,AG001,S05,2024-05-20,Validated,1.8
M0144,AG019,S06,2024-09-30,Pending,6.8
M0145,AG002,S01,2025-02-19,Validated,0.2
M0146,AG021,S05,2024-02-08,Pending,11.7
